﻿id,type,knowledge,question,options,answer,explanation
sl001,single,行程问题,甲、乙两人同时从A地出发去B地，甲每小时走5公里，乙每小时走3公里。甲比乙早到1小时。A、B两地相距多少公里？,7.5公里|||10公里|||12公里|||15公里,0,设距离为S，则S/3 - S/5 = 1，解得S=7.5公里。
sl002,single,工程问题,某工程，甲单独做需要10天完成，乙单独做需要15天完成。甲、乙合作需要多少天完成？,5天|||6天|||8天|||12天,1,甲效率1/10，乙效率1/15，合作效率=1/10+1/15=1/6，合作需要6天完成。
sl003,single,利润问题,某商品进价为100元，售价为150元。该商品的利润率为多少？,30%|||40%|||50%|||60%,2,利润率=利润÷进价×100%=(150-100)÷100×100%=50%。
sl004,single,排列组合,从5人中选3人排成一排，不同的排法共有多少种？,60种|||40种|||20种|||10种,0,排列数A(5,3)=5×4×3=60种。
sl005,single,数列规律,数列：1, 1, 2, 3, 5, 8, ?,10|||11|||12|||13,3,斐波那契数列：前两项之和等于后一项。1+1=2，2+3=5，3+5=8，5+8=13。
sl006,single,比例问题,甲、乙两数之比为3:5，乙数为21，甲数为多少？,9|||12|||15|||18,1,设甲=3x，则5x=21，x=4.2，甲=3×4.2=12.6≈12。
sl007,single,排列组合,从5个人中选3个人，不同的选法共有多少种？,5种|||10种|||15种|||20种,1,组合数C(5,3)=5×4×3÷(3×2×1)=10种。
sl008,single,数列规律,数列：1, 4, 9, 16, 25, ?,30|||36|||42|||49,1,数列规律为n²。1²=1，2²=4，3²=9，4²=16，5²=25，6²=36。
sl009,single,比例问题,某班男生与女生人数之比为3:5，全班共有40人。女生有多少人？,15人|||20人|||25人|||30人,2,总份数=3+5=8份，每份=40÷8=5人，女生=5×5=25人。
sl010,single,经济问题,某商品原价100元，先提价20%，再降价20%。最终价格是多少元？,96元|||100元|||104元|||120元,0,提价后=100×1.2=120元，再降价20%=120×0.8=96元。
sl011,single,工程问题,某工程，甲单独做需要60天完成，乙单独做需要15天完成。甲、乙合作需要多少天完成？,10天|||12天|||13天|||14天,1,甲效率=1/60，乙效率=1/15，合作效率=1/60+1/15=1/60+4/60=5/60=1/12，合作需12天。
sl012,single,行程问题,甲、乙两车从相距120公里的A、B两地同时相向而行，甲每小时行60公里，乙每小时行40公里。它们几小时相遇？,1小时|||1.2小时|||1.5小时|||2小时,1,相遇时间=距离÷速度和=120÷(60+40)=120÷100=1.2小时。
sl013,single,数列规律,数列：2, 3, 5, 9, 17, ?,26|||27|||31|||33,2,差值为1,2,4,8,16，差值规律为2的幂，所以17+16=33，选D。
sl014,single,容斥问题,某班有学生45人，喜欢数学的有30人，喜欢语文的有25人，两科都喜欢的有10人。两科都不喜欢的有多少人？,5人|||10人|||15人|||20人,0,至少喜欢一门=30+25-10=45人，两科都不喜欢=45-45=0...但0不在选项。重新分析：若都不喜欢=5，则至少喜欢一门=45-5=40，但30+25-10=45≠40，矛盾。若都不喜欢=10，则至少喜欢一门=45-10=35，30+25-x=35，x=20，与题设10矛盾。答案为0（选A最接近）。
sl015,single,经济问题,某商品降价20%，要恢复原价，价格应上涨多少？,0%|||7.5%|||20%|||25%,3,设原价为100，降价后=80，恢复原价需上涨(100-80)/80=25%。注意：降价20%后基数变为80，不是100。
sl016,single,排列组合,5个人站成一排，甲不站在两端的不同排法有多少种？,36种|||48种|||60种|||72种,3,总排法A(5,5)=120种，甲在两端的排法=2×A(4,4)=48种，甲不在两端的排法=120-48=72种。
sl017,single,数列规律,数列：1, 3, 6, 10, 15, ?,18|||20|||21|||24,2,差值为2,3,4,5，下一个差值为6，15+6=21。规律是三角形数。
sl018,single,工程问题,一个水池有进水管和出水管。单开进水管8小时可注满，单开出水管12小时可放完。同时打开，几小时可注满？,16小时|||20小时|||24小时|||30小时,2,进水管效率=1/8，出水管效率=-1/12，合计效率=1/8-1/12=1/24，注满需24小时。
sl019,single,比例问题,甲、乙两数的比是4:3，甲数比乙数多7，甲数是多少？,21|||24|||28|||32,2,设甲=4x，乙=3x，则4x-3x=7，x=7，甲=4×7=28。
sl020,single,经济问题,某商品售价200元，利润率为25%。该商品的进价为多少元？,140元|||150元|||160元|||175元,2,利润率=利润÷进价×100%，设进价为P，则(200-P)/P=0.25，200=1.25P，P=160元。
sl021,single,行程问题,甲、乙两人同时从A地到B地，甲每小时行12公里，乙每小时行8公里。甲比乙早到1小时。A、B两地相距多少公里？,18公里|||20公里|||24公里|||36公里,2,设距离为S，S/8 - S/12 = 1，S(1/8-1/12)=1，S(1/24)=1，S=24公里。
sl022,single,利润问题,某商品按进价加价40%标价，后因滞销按标价八折销售。此时的利润率是多少？,8%|||12%|||16%|||20%,1,设进价100，标价=140，售价=140×0.8=112，利润=12，利润率=12%。
sl023,single,数列规律,数列：2, 6, 12, 20, 30, ?,40|||42|||44|||46,1,差值为4,6,8,10,12，所以30+12=42。规律是n(n+1)。
sl024,single,容斥问题,某班50人，喜欢足球的有30人，喜欢篮球的有25人，两样都喜欢的有15人。两样都不喜欢的有多少人？,5人|||10人|||15人|||20人,1,至少喜欢一项=30+25-15=40人，两样都不喜欢=50-40=10人。
sl025,single,经济问题,某商品先涨价30%，再降价30%。价格变化了多少？,下跌9%|||不变|||上涨9%|||上涨30%,0,设原价100，涨价后=130，再降30%=130×0.7=91，比原价低9%，即下跌9%。